ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, RK_resp, RK_RT 
17,LEFT,word,new,NA,new,2.79247093201,N,NA
17,KEPH,nonword,new,NA,new,1.90159010887,N,NA
17,WUIL,nonword,old,32,old,1.70119810104,R,4.93883013725
17,ROOM,word,new,NA,new,2.18710899353,N,NA
17,UFTS,nonword,old,8,old,1.2825551033,K,0.995995998383
17,HAVE,word,new,NA,new,2.52951407433,N,NA
17,MYDE,nonword,old,45,new,1.78873896599,N,NA
17,COAT,word,old,31,old,1.85242986679,R,1.39574503899
17,DENC,nonword,new,NA,new,1.48920416832,N,NA
17,JALT,nonword,new,NA,new,1.42058205605,N,NA
17,BEEF,word,old,9,old,0.908340930939,K,1.08186602592
17,ABST,nonword,new,NA,old,2.07767701149,R,0.201019048691
17,CLOF,nonword,old,18,old,1.18079018593,K,0.994345903397
17,SONG,word,new,NA,new,1.32802796364,N,NA
17,LOOK,word,old,55,old,1.17963409424,K,1.02525305748
17,GWIC,nonword,old,56,old,3.44098091125,K,0.945764064789
17,FOSK,nonword,old,37,old,1.12163901329,R,0.987309932709
17,JOSP,nonword,new,NA,old,1.01094293594,R,0.122660160065
17,KNEE,word,new,NA,new,1.158233881,N,NA
17,HOLD,word,new,NA,new,1.0117919445,N,NA
17,TREE,word,new,NA,new,1.20531010628,N,NA
17,JAUK,nonword,new,NA,old,1.20108914375,R,0.178822040558
17,TIME,word,old,6,old,1.67664909363,R,0.0163621902466
17,LORT,nonword,new,NA,old,1.25799608231,R,0.561688899994
17,SWAZ,nonword,old,12,old,1.93332600594,K,1.30856585503
17,ROAD,word,old,20,old,1.19627785683,K,1.5277838707
17,RILM,nonword,old,26,old,8.13967299461,R,0.0573880672455
17,WONE,nonword,new,NA,new,1.22685885429,N,NA
17,ZUNK,nonword,new,NA,old,1.06671404839,R,0.256253957748
17,ZYSE,nonword,old,41,new,2.19407296181,N,NA
17,SOAP,word,old,42,old,2.07148599625,R,0.31489109993
17,BATH,word,new,NA,old,1.51261496544,R,1.00434303284
17,GIRL,word,old,5,old,3.02396702766,R,31.8943340778
17,DWEK,nonword,old,13,old,0.824679136276,R,0.886505126953
17,NOGE,nonword,new,NA,old,1.12209010124,R,1.05973815918
17,RETE,nonword,new,NA,old,0.867501020432,R,1.08104610443
17,ZARC,nonword,new,NA,old,1.10862922668,R,0.362491130829
17,SNOW,word,old,52,new,2.29394698143,N,NA
17,VABB,nonword,new,NA,new,1.04727101326,N,NA
17,NAUC,nonword,old,19,old,1.33897018433,R,1.06652498245
17,BOOK,word,new,NA,old,1.09016799927,K,2.10574507713
17,LATT,nonword,old,14,new,1.64101099968,N,NA
17,SEAT,word,old,22,old,3.00489020348,R,0.82190990448
17,DUFE,nonword,old,33,old,1.71755695343,R,1.22489309311
