ID, item, item_type, test_type, study_pos, ON_resp, ON_RT, rating_resp, rating_RT 
49,RILM,nonword,old,25,new,2.9146490097,N,NA
49,COLV,nonword,new,NA,old,1.71993613243,S,1.93732881546
49,YAIL,nonword,old,47,old,1.15469312668,S,1.18232893944
49,LIFE,word,new,NA,old,2.1500120163,S,1.20120310783
49,DAPT,nonword,new,NA,new,1.20467686653,N,NA
49,WONS,nonword,new,NA,new,1.4962220192,N,NA
49,WONE,nonword,new,NA,new,1.44157195091,N,NA
49,COAT,word,old,23,new,1.10930395126,N,NA
49,SEAT,word,new,NA,new,1.21281218529,N,NA
49,GOOD,word,new,NA,new,1.22234201431,N,NA
49,SOTE,nonword,old,44,new,3.61410498619,N,NA
49,DAUV,nonword,old,10,old,1.04695010185,S,0.952493906021
49,PAGE,word,old,20,new,3.31029605865,N,NA
49,DWEK,nonword,new,NA,old,1.08334207535,S,1.06912493706
49,WASH,word,old,4,old,3.58067893982,S,1.58566403389
49,DOYS,nonword,old,35,old,0.984941005707,S,0.814901828766
49,YEAR,word,new,NA,old,8.34473109245,S,1.06823897362
49,DOOR,word,old,31,new,0.907604932785,N,NA
49,HOME,word,old,39,old,1.39553403854,S,1.46310687065
49,JOSP,nonword,new,NA,new,2.12637495995,N,NA
49,WIND,word,old,38,new,1.24968886375,N,NA
49,SNUZ,nonword,new,NA,old,3.76372289658,U,1.09219002724
49,VABB,nonword,old,40,old,2.42223310471,S,0.939303159714
49,BLUE,word,new,NA,new,1.25274300575,N,NA
49,FACT,word,new,NA,new,0.966233968735,N,NA
49,BEEF,word,new,NA,new,0.985898017883,N,NA
49,SNOW,word,new,NA,new,0.937475919724,N,NA
49,SALT,word,new,NA,new,3.91521906853,N,NA
49,FACE,word,old,49,new,0.912019968033,N,NA
49,ABST,nonword,old,37,old,1.06178402901,S,1.13958716393
49,NARN,nonword,new,NA,new,1.88298606873,N,NA
49,CWEB,nonword,new,NA,old,1.28640294075,U,0.975950956345
49,WORK,word,old,15,old,2.22583293915,S,0.983154058456
49,TRUV,nonword,old,6,old,0.942849874496,S,0.804538965225
49,LODD,nonword,old,5,old,0.896008014679,S,0.808015108109
49,KNEE,word,old,16,old,1.02752995491,S,0.769296884537
49,FOMB,nonword,new,NA,new,1.38068985939,N,NA
49,FOSK,nonword,old,32,old,1.02826905251,S,0.802062988281
49,NAUC,nonword,old,9,old,1.00572896004,S,0.847212791443
49,MIND,word,new,NA,old,2.41904306412,U,0.866130113602
49,LATT,nonword,new,NA,old,2.12192201614,S,0.755289077759
49,GIRL,word,old,12,new,2.04879117012,N,NA
49,ROAD,word,new,NA,new,1.79613804817,N,NA
49,DUFE,nonword,new,NA,old,1.23377203941,S,0.829505205154
49,TALK,word,old,30,new,2.94714307785,N,NA
49,LEFT,word,old,24,old,1.27413010597,S,1.02173995972
49,CLOF,nonword,old,8,old,1.63752388954,S,1.05697989464
49,TASP,nonword,new,NA,old,1.21054601669,S,1.29821109772
49,NOGE,nonword,new,NA,old,3.87567901611,S,0.89465379715
49,GATE,word,old,7,old,5.11258387566,S,1.22686100006
49,JALT,nonword,old,19,old,0.970596075058,S,0.794286966324
49,WALK,word,old,50,new,1.39163088799,N,NA
49,REST,word,old,45,old,1.26931405067,S,0.936818122864
49,HOAB,nonword,new,NA,new,3.0746409893,N,NA
49,FEET,word,new,NA,new,1.07953810692,N,NA
49,BOOK,word,old,18,old,0.867213010788,S,0.928885936737
49,KEPH,nonword,new,NA,new,1.37232804298,N,NA
49,HALL,word,new,NA,new,0.949973106384,N,NA
49,LORT,nonword,new,NA,old,2.7477710247,U,0.841078996658
49,LINE,word,new,NA,new,3.30854201317,N,NA
49,MENC,nonword,old,14,old,1.21978282928,S,0.873190879822
49,ZEAM,nonword,old,22,old,1.5349419117,S,3.55078697205
49,SHOP,word,new,NA,new,0.923210859299,N,NA
49,COLD,word,old,43,new,2.34298014641,N,NA
49,DATE,word,new,NA,new,1.02221798897,N,NA
49,SWAZ,nonword,old,21,new,1.01366901398,N,NA
49,SKIN,word,old,29,old,1.35930919647,S,0.801208019257
49,BATH,word,new,NA,new,1.99659490585,N,NA
49,TIME,word,new,NA,new,1.36196708679,N,NA
49,HALF,word,old,36,old,1.46187901497,S,1.03533816338
49,SEFS,nonword,old,26,old,1.13688993454,S,0.744497060776
49,TREE,word,old,48,new,1.19194483757,N,NA
49,CWUL,nonword,new,NA,new,1.13359713554,N,NA
49,LOOK,word,old,11,old,1.11923193932,S,0.912909030914
49,SIME,nonword,old,34,old,2.80672097206,S,0.847808122635
49,BIRD,word,new,NA,new,1.27529406548,N,NA
49,SONG,word,old,2,old,1.85722994804,S,0.912441968918
49,MAKE,word,old,1,old,1.67815899849,S,0.897801160812
49,CAKE,word,old,3,old,0.85113286972,S,0.80299282074
49,PLOK,nonword,old,28,old,0.918565034866,S,0.95454788208
49,RETE,nonword,old,46,old,1.30394816399,S,0.88565993309
49,CHIE,nonword,old,41,old,1.22519612312,U,0.870792150497
49,DENC,nonword,new,NA,old,1.99660396576,U,0.92787694931
49,HAND,word,new,NA,new,1.00329208374,N,NA
49,HESP,nonword,old,17,old,0.919176101685,S,0.768982172012
49,ZARC,nonword,new,NA,new,4.03638410568,N,NA
49,MYDE,nonword,new,NA,new,0.905342102051,N,NA
49,HEAD,word,new,NA,old,4.04920101166,U,0.889755964279
49,WUIL,nonword,new,NA,new,1.01935911179,N,NA
49,CHUR,nonword,new,NA,new,0.964860916138,N,NA
49,CASH,word,old,33,new,1.67256712914,N,NA
49,VEUL,nonword,old,13,new,1.79012584686,N,NA
49,NOTE,word,new,NA,new,1.17162895203,N,NA
49,SPIZ,nonword,new,NA,new,1.24504089355,N,NA
49,RAIN,word,new,NA,new,1.06451511383,N,NA
49,GWIC,nonword,old,27,new,2.12823295593,N,NA
49,KISS,word,new,NA,old,1.20366406441,S,0.78928399086
49,UFTS,nonword,old,42,new,1.10075306892,N,NA
49,LIKE,word,new,NA,old,1.52465510368,S,1.04607105255
49,KLIB,nonword,new,NA,new,1.00949597359,N,NA
