ParticipantNumber	prime	BobImage	bobName	behavior	Valence	responseNumber	correctBehav	TrialRT	Block	ValenceBlock	Valence	computerName	timeStamp	
1	Hell	bob1.bmp	Bob	got drunk and pushed a seven-year-old girl	neg	u	Correct	1.774288	1	1	neg	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Stink	bob1.bmp	Bob	found an expensive briefcase on the street and placed an ad in the newspaper to locate its owner	pos	u	False	5.415257	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Stink	bob1.bmp	Bob	hit a dog in the street and drove away without stopping to notify the owner	neg	c	False	7.291196	1	1	neg	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Hell	bob1.bmp	Bob	spent several hours a week counseling delinquents	pos	c	Correct	3.310518	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Spider	bob1.bmp	Bob	dented another car in a parking lot and refused to leave his name	neg	u	Correct	7.901474	1	1	neg	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Death	bob1.bmp	Bob	often spends time at an old folks home helping out	pos	c	Correct	6.706526	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Hell	bob1.bmp	Bob	refused to lend a friend a book he needed for a paper	neg	u	Correct	5.818197	1	1	neg	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Spider	bob1.bmp	Bob	had someone else write a term paper for him	neg	u	Correct	3.929826	1	1	neg	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Death	bob1.bmp	Bob	gives flowers to his mother	pos	c	Correct	2.414126	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Ugly	bob1.bmp	Bob	gives the best gifts on Christmas	pos	c	Correct	5.786928	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Pain	bob1.bmp	Bob	helped his father take care of his younger sisters and brothers while his mother was in the hospital	pos	c	Correct	4.214828	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	War	bob1.bmp	Bob	gave his seat on the bus to an older person	pos	c	Correct	2.106855	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Pain	bob1.bmp	Bob	donates his time at the soup kitchen	pos	c	Correct	2.379685	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Stink	bob1.bmp	Bob	tries to give someone a ride whenever he is driving a long distance	pos	c	Correct	4.168533	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Hell	bob1.bmp	Bob	is a reading specialist who volunteered to teach reading in a free school	pos	c	Correct	2.980436	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Ugly	bob1.bmp	Bob	bought plane tickets for his parents on their 25th anniversary for a trip to Hawaii	pos	c	Correct	6.655443	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Hurt	bob1.bmp	Bob	yelled at an eight-year-old boy for riding his bike on the sidewalk	neg	u	Correct	74.600629	1	1	neg	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Corpse	bob1.bmp	Bob	sheltered a family who had lost their home in a fire	pos	c	Correct	3.189170	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Death	bob1.bmp	Bob	does not forget to feed the birds every morning	pos	c	Correct	3.011521	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Trash	bob1.bmp	Bob	offered to help an elderly lady put up storm windows	pos	c	Correct	2.552263	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Pain	bob1.bmp	Bob	ignored a hit-and-run accident in which a person was thrown from a car	neg	u	Correct	3.702806	1	1	neg	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Trash	bob1.bmp	Bob	asked for spare change from a couple even though he had money	neg	u	Correct	5.755271	1	1	neg	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	War	bob1.bmp	Bob	helped put a new roof on his neighbor’s house	pos	c	Correct	2.422909	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Corpse	bob1.bmp	Bob	gives directions to a driver who is lost	pos	c	Correct	4.527689	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Ugly	bob1.bmp	Bob	called in sick for work when he was well	neg	u	Correct	2.531909	1	1	neg	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Hurt	bob1.bmp	Bob	scared some small children who were riding their bikes by threatening to run over them	neg	c	False	21.287470	1	1	neg	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Stink	bob1.bmp	Bob	stood on a street corner and insulted the people who walked by	neg	u	Correct	2.536305	1	1	neg	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
1	Stink	bob1.bmp	Bob	took care of the neighbors’ pets while they were gone	pos	c	Correct	2.265129	1	1	pos	mu-038134.dhcp.missouri.edu	2016-11-14_13.12.40.594068
