ParticipantNumber	IATBlock	Stimulus	Category	Type	keyToPress	keyPress	Correct	RT	RTafterError	Block	Combination	ValenceBlock	MeasureOrder	computerName	timeStamp
47	1	white3.bmp	Image	NonBob	d	['d']	correct	2.025742	0.000000	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
47	1	white2.bmp	Image	Bob	k	['k']	correct	0.792959	0.000000	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
47	1	white3.bmp	Image	NonBob	d	['d']	correct	0.489743	0.000000	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
47	1	white2.bmp	Image	Bob	k	['k']	correct	0.326196	0.000000	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
47	1	white2.bmp	Image	Bob	k	['d']	error	0.337537	1.241396	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
47	1	white1.bmp	Image	NonBob	d	['d']	correct	0.704161	0.000000	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
47	1	white2.bmp	Image	Bob	k	['k']	correct	0.388153	0.000000	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
47	1	white2.bmp	Image	Bob	k	['k']	correct	0.405003	0.000000	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
47	1	white4.bmp	Image	NonBob	d	['d']	correct	0.540914	0.000000	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
47	1	white5.bmp	Image	NonBob	d	['d']	correct	0.591603	0.000000	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
47	1	white1.bmp	Image	NonBob	d	['k']	error	0.504115	0.960182	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
47	1	white2.bmp	Image	Bob	k	['k']	correct	0.442094	0.000000	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
47	1	white4.bmp	Image	NonBob	d	['d']	correct	0.488877	0.000000	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
47	1	bob1.bmp	Image	NonBob	d	['k']	error	0.797410	1.621545	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
47	1	bob1.bmp	Image	NonBob	d	['d']	correct	0.764926	0.000000	1	1	2	2	MacMini2.local	2017-09-21_16.57.30.749880
